brand,name_en,name_kor,like,review,resale_price,price,model,color,increase,speed_deli
Nike,Nike Dunk Low Retro Black,나이키 덩크 로우 레트로 블랙,6.5만,"8,751","260,000원","129,000원",DD1391-100,WHITE/BLACK,(+2.4%),1
Nike,Nike Dunk Low Retro Championship Court Purple,나이키 덩크 로우 레트로 챔피언쉽 코트 퍼플,1.1만,351,"229,000원","129,000원",DD1391-104,WHITE/COURT PURPLE,(-2.3%),1
Jordan,Jordan 1 Mid Light Smoke Grey Anthracite,조던 1 미드 라이트 스모크 그레이 앤트러사이트,1.1만,107,"333,000원","€120 (약 163,000원)",554724-078,LIGHT SMOKE GREY/WHITE-ANTHRACITE,(+1.4%),1
Nike,(W) Nike Dunk Low Black,(W) 나이키 덩크 로우 블랙,4.5만,"3,338","275,000원","129,000원",DD1503-101,WHITE/BLACK,(+6.6%),1
Nike,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,4.5만,"2,874","131,000원","129,000원",315122-111/CW2288-111,WHITE/WHITE,(0%),0
Nike,(W) Nike Air Force 1 '07 Low White,(W) 나이키 에어포스 1 '07 로우 화이트,2.8만,518,"160,000원","129,000원",315115-112/DD8959-100,WHITE/WHITE,(+0.6%),0
Jordan,(W) Jordan 1 Low White Wolf Grey,(W) 조던 1 로우 화이트 울프 그레이,5.1만,790,"385,000원","119,000원",DC0774-105,WHITE/WOLF GREY/ALUMINUM,(-6.9%),1
Nike,Nike x Peaceminusone Kwondo1 White,나이키 x 피스마이너스원 퀀도1 화이트,2만,"1,704","367,000원","219,000원",DH2482-100,WHITE/WHITE-WHITE,(-5.7%),1
Nike,Nike Dunk Low Retro PRM Halloween,나이키 덩크 로우 레트로 프리미엄 할로윈,1.7만,662,"336,000원","129,000원",DD3357-100,SAIL/STARFISH-BLACK,(+3.1%),1
Jordan,Jordan 1 High 85 College Navy,조던 1 하이 85 컬리지 네이비,"2,932",12,"540,000원","229,000원",BQ4422-400,COLLEGE NAVY/SUMMIT WHITE-TECH GREY,(+0.7%),0
Nike,Nike x Supreme Air Force 1 Low White,나이키 x 슈프림 에어포스 1 로우 화이트,3만,837,"227,000원","$96 (약 115,000원)",CU9225-100,WHITE/WHITE-WHITE,(-2.2%),1
