rank,name,increase,increase_cnt
1,후드티,-,0
2,맨투맨,-,0
3,나이키,1,2
4,후드집업,1,2
5,바람막이,0,1
6,가디건,0,3
7,니트,1,1
8,조거팬츠,0,1
9,백팩,-,0
10,모자,1,5
11,반팔,1,7
12,반스,1,2
13,비니,0,3
14,셔츠,1,2
15,운동화,1,10
16,쿠어,0,5
17,컨버스,1,12
18,블레이저,1,1
19,양말,0,6
20,나이키에어포스,1,17
21,가방,-,0
22,트레이닝세트,1,44
23,셋업,1,3
24,레이어드티,0,12
25,아디다스,1,7
26,아노락,1,5
27,청바지,-,0
28,바지,1,12
29,자켓,0,12
30,슬랙스,1,3
31,무탠다드,0,1
32,에코백,1,13
33,코트,1,2
34,마크곤잘레스,0,10
35,스니커즈,1,4
36,커버낫,0,8
37,메신저백,0,15
38,후리스,1,13
39,숏패딩,1,21
40,카드지갑,1,8
41,지갑,0,7
42,슬리퍼,0,22
43,트레이닝바지,1,18
44,바시티자켓,1,10
45,아식스,1,31
46,신발,1,32
47,반팔티,0,24
48,와이드슬랙스,1,64
49,롱슬리브,1,15
50,청자켓,0,3
51,나이키운동화,1,26
52,후드,1,7
53,크로스백,1,2
54,폴로,0,4
55,와이드팬츠,1,13
56,남자가디건,0,4
57,항공점퍼,0,15
58,윈드브레이커,0,14
59,경량패딩,0,21
60,블루종,0,19
61,칼하트,0,12
62,트렌치코트,0,26
63,예일,0,5
64,뉴발란스,1,76
65,레더자켓,1,48
66,가죽자켓,0,23
67,나이키코르테즈,1,24
68,바시티재킷,1,106
69,스웻팬츠,1,82
70,목걸이,1,92
71,하프집업,1,47
72,브랜디드,0,5
73,나이키에어포스1,1,70
74,제멋,1,9
75,니트집업,0,2
76,나이키신발,1,62
77,아우터,1,34
78,하프집업니트,1,24
79,벨트,0,17
80,러프사이드,1,373
81,크록스,1,53
82,스투시,1,43
83,니트조끼,1,26
84,남자가죽자켓,1,184
85,뉴발란스327,1,59
86,클리어런스,0,29
87,야상,0,41
88,트러커자켓,1,73
89,트레이닝셋업,0,26
90,나이키맨투맨,1,63
91,토피,1,139
92,디그레,1,112
93,뉴발란스530,-,0
94,캡모자,0,9
95,로퍼,1,25
96,스파오,1,96
