rank,brand,product,price,sale_price,increase,increase_cnt,no_deli
1위,우포스,OORIGINALBLACK-조리블랙,"62,000원",-,-,-,-
2위,커버낫,에센셜쿨코튼2-PACK티셔츠,"49,000원","44,100원",1,3,-
3위,라퍼지스토어,시티보이빅오버옥스포드셔츠_RoyalBlue,"47,000원","42,000원",0,1,-
4위,스탠드오일,Butterbag·버터백,"89,000원",-,0,1,-
5위,[블록버스터세일],갤럭시북2프로360NT930QED-K71A12세대i7윈도우112in1S펜포함,"2,349,000원","2,114,100원",-,-,-
6위,삼성전자,갤럭시북2프로NT930XED-K71A휴대용노트북,"2,049,000원","1,844,100원",0,5,-
7위,[블록버스터세일],와이드치노팬츠[베이지],"32,900원",-,0,3,-
8위,삼성전자,코트_그레이화이트,"129,000원",-,1,5,-
9위,무신사 스탠다드,쿨코튼2-PACK베츠기본반팔티셔츠블랙/화이트,"49,000원","31,850원",1,3,-
10위,이피티,NBP7CS124G/ML2002R0(GREY),"149,000원",-,1,6,-
11위,이벳필드,[미나브X깡스타일리스트]퓨어코튼펀칭카라니트[그린],"75,000원","45,000원",0,3,6/10배송 예정
12위,뉴발란스,TSHIRTFLOWERMARDI_WHITEGREEN,"42,000원","37,800원",0,5,3일지연 예정
13위,미나브,[리뉴얼ver.]린넨세미와이드밴딩팬츠세트,"66,000원","49,500원",0,2,5/4배송 예정
14위,마르디 메크르디,유니섹스세미와이드밴딩슬랙스,"54,000원","33,900원",1,10,-
15위,수아레,젤-님버스9-퓨어실버:프렌치블루/1202A278-020,"169,000원",-,0,9,-
16위,후러브스아트,[미나브X깡스타일리스트]코튼모달미니멀와플하프니트[스카이블루],"55,000원","31,900원",0,7,6/10배송 예정
17위,아식스,시티보이빅오버옥스포드셔츠_NeutralGray,"47,000원","42,000원",1,1,-
18위,미나브,[미나브X깡스타일리스트]코튼모달미니멀와플하프니트[블랙],"55,000원","31,900원",0,8,6/10배송 예정
19위,라퍼지스토어,B25로고3SN275ZJD068남자스니커즈,"1,138,000원",-,-,-,-
20위,미나브,TSHIRTFLOWERMARDI_IVORYNAVY,"42,000원","37,800원",-,-,5/9배송 예정
